date,hour,corridor_route,speed
2020-03-25,12,I-35,66.0659058916132
2020-03-25,13,I-35,68.9035773313858
2020-03-25,14,I-35,70.6516181412783
2020-03-25,15,I-35,72.5227404205418
2020-03-25,16,I-35,73.5179163404058
2020-03-25,17,I-35,74.0712528201514
2020-03-25,18,I-35,71.8749052763519
2020-03-25,19,I-35,69.5595944630781
2020-03-25,20,I-35,69.5629526864356
2020-03-25,21,I-35,69.3041135530536
2020-03-25,22,I-35,66.7905487240612
2020-03-25,23,I-35,65.474925383244
2020-03-26,1,I-35,63.695394855545
2020-03-26,2,I-35,57.8279812403556
2020-03-26,3,I-35,57.8800667531598
2020-03-26,4,I-35,58.4263880992868
2020-03-26,5,I-35,65.5790585427435
2020-03-26,6,I-35,70.6757919512606
2020-03-26,7,I-35,70.7202609447598
2020-03-26,8,I-35,65.6393912238561
2020-03-26,9,I-35,64.1582852974361
2020-03-26,10,I-35,65.9423425983495
2020-03-26,11,I-35,65.35766663236
2020-03-26,12,I-35,68.2779195330117
2020-03-26,13,I-35,69.2336782321885
2020-03-26,14,I-35,71.9446845341833
2020-03-26,15,I-35,73.7247555934268
2020-03-26,16,I-35,75.7659959023625
2020-03-26,17,I-35,72.9256199401288
2020-03-26,18,I-35,73.8606569540775
2020-03-26,19,I-35,72.9011318518498
2020-03-26,20,I-35,71.5999519957379
2020-03-26,21,I-35,70.0796662635334
2020-03-26,22,I-35,69.573074636264
2020-03-26,23,I-35,65.3000920702523
2020-03-27,1,I-35,61.9141937991672
2020-03-27,2,I-35,60.5950021565748
2020-03-27,3,I-35,59.9929787652459
2020-03-27,4,I-35,62.0199560848092
2020-03-27,5,I-35,68.0716651124827
2020-03-27,6,I-35,69.7434360148717
2020-03-27,7,I-35,70.4881460856271
2020-03-27,8,I-35,68.2091326544399
2020-03-27,9,I-35,65.9028334292331
2020-03-27,10,I-35,67.1090465058501
2020-03-27,11,I-35,68.4912926704219
2020-03-27,12,I-35,70.3841835144864
2020-03-27,13,I-35,71.5175051092373
2020-03-27,14,I-35,74.054768742788
2020-03-27,15,I-35,73.3617834497796
2020-03-27,16,I-35,77.4298967506343
2020-03-27,17,I-35,73.9649083815172
2020-03-27,18,I-35,75.7371910103978
2020-03-27,19,I-35,75.3227779597382
2020-03-27,20,I-35,72.9131270161115
2020-03-27,21,I-35,70.6801220773529
2020-03-27,22,I-35,70.3752502563753
2020-03-27,23,I-35,67.8838729158255
2020-03-28,1,I-35,65.3963607087823
2020-03-28,2,I-35,59.2849852533307
2020-03-28,3,I-35,55.2405837416314
2020-03-28,4,I-35,60.8830855647975
2020-03-28,5,I-35,62.215685589759
2020-03-28,6,I-35,71.3094754699683
2020-03-28,7,I-35,72.0832168895606
2020-03-28,8,I-35,71.9912081614132
2020-03-28,9,I-35,73.0471467390722
2020-03-28,10,I-35,73.0251216447261
2020-03-28,11,I-35,75.2073792539589
2020-03-28,12,I-35,74.186195555685
2020-03-28,13,I-35,73.7909428950662
2020-03-28,14,I-35,74.4525359951993
2020-03-28,15,I-35,74.4254649861523
2020-03-28,16,I-35,74.2483926086531
2020-03-28,17,I-35,74.9016940120399
2020-03-28,18,I-35,70.516330511264
2020-03-28,19,I-35,74.3809167067672
2020-03-28,20,I-35,74.6022876484544
2020-03-28,21,I-35,71.4736128900344
2020-03-28,22,I-35,73.6280220840291
2020-03-28,23,I-35,72.0057365466726
2020-03-29,1,I-35,57.5863101240058
2020-03-29,2,I-35,56.5943540590485
2020-03-29,3,I-35,62.5531042771227
2020-03-29,4,I-35,65.2078180295494
2020-03-29,5,I-35,69.6175768291163
2020-03-29,6,I-35,69.7041770435784
2020-03-29,7,I-35,73.2885578117313
2020-03-29,8,I-35,71.7915224012654
2020-03-29,9,I-35,72.6971705012625
